ID_Transacao,Item,Valor_Item,Data,Hora
1,Prato Feito (PF),28.0,2025-01-25,11:00:00
1,Coxinha de Frango,10.0,2025-01-25,11:00:00
1,Feijoada Completa,55.0,2025-01-25,11:00:00
2,Prato Feito (PF),28.0,2025-01-03,21:00:00
2,Café Coado,6.0,2025-01-03,21:00:00
3,Caipirinha de Limão,22.0,2025-01-28,11:00:00
3,Pudim de Leite,12.0,2025-01-28,11:00:00
3,Guaraná Antarctica,7.0,2025-01-28,11:00:00
3,Feijoada Completa,55.0,2025-01-28,11:00:00
4,Prato Feito (PF),28.0,2025-01-11,17:00:00
4,Pão de Queijo (Porção),15.0,2025-01-11,17:00:00
4,Moqueca de Peixe,75.0,2025-01-11,17:00:00
4,Pudim de Leite,12.0,2025-01-11,17:00:00
5,Pudim de Leite,12.0,2025-01-04,21:00:00
5,Café Coado,6.0,2025-01-04,21:00:00
5,Caipirinha de Limão,22.0,2025-01-04,21:00:00
6,Caipirinha de Limão,22.0,2025-01-24,11:00:00
7,Moqueca de Peixe,75.0,2025-01-08,12:00:00
8,Brigadeiro Gourmet,8.0,2025-01-19,12:00:00
8,Café Coado,6.0,2025-01-19,12:00:00
9,Prato Feito (PF),28.0,2025-01-15,12:00:00
9,Arroz Carreteiro,38.0,2025-01-15,12:00:00
9,Pudim de Leite,12.0,2025-01-15,12:00:00
10,Pudim de Leite,12.0,2025-01-06,12:00:00
10,Feijoada Completa,55.0,2025-01-06,12:00:00
11,Pão de Queijo (Porção),15.0,2025-01-05,11:00:00
11,Cerveja Artesanal,18.0,2025-01-05,11:00:00
11,Caipirinha de Limão,22.0,2025-01-05,11:00:00
12,Prato Feito (PF),28.0,2025-01-19,18:00:00
12,Coxinha de Frango,10.0,2025-01-19,18:00:00
13,Caipirinha de Limão,22.0,2025-01-12,21:00:00
14,Caipirinha de Limão,22.0,2025-01-03,18:00:00
14,Água de Coco,10.0,2025-01-03,18:00:00
14,Feijoada Completa,55.0,2025-01-03,18:00:00
15,Caipirinha de Limão,22.0,2025-01-08,22:00:00
15,Moqueca de Peixe,75.0,2025-01-08,22:00:00
15,Feijoada Completa,55.0,2025-01-08,22:00:00
16,Caipirinha de Limão,22.0,2025-01-03,15:00:00
16,Brigadeiro Gourmet,8.0,2025-01-03,15:00:00
16,Coxinha de Frango,10.0,2025-01-03,15:00:00
16,Feijoada Completa,55.0,2025-01-03,15:00:00
17,Pudim de Leite,12.0,2025-01-02,17:00:00
17,Caipirinha de Limão,22.0,2025-01-02,17:00:00
17,Café Coado,6.0,2025-01-02,17:00:00
17,Prato Feito (PF),28.0,2025-01-02,17:00:00
17,Moqueca de Peixe,75.0,2025-01-02,17:00:00
18,Prato Feito (PF),28.0,2025-01-08,19:00:00
18,Coxinha de Frango,10.0,2025-01-08,19:00:00
18,Caipirinha de Limão,22.0,2025-01-08,19:00:00
19,Prato Feito (PF),28.0,2025-01-28,15:00:00
19,Suco de Laranja,9.0,2025-01-28,15:00:00
19,Pudim de Leite,12.0,2025-01-28,15:00:00
20,Pão de Queijo (Porção),15.0,2025-01-02,11:00:00
20,Cerveja Artesanal,18.0,2025-01-02,11:00:00
20,Feijoada Completa,55.0,2025-01-02,11:00:00
21,Caipirinha de Limão,22.0,2025-01-26,19:00:00
21,Arroz Carreteiro,38.0,2025-01-26,19:00:00
21,Feijoada Completa,55.0,2025-01-26,19:00:00
22,Arroz Carreteiro,38.0,2025-01-28,19:00:00
22,Cerveja Artesanal,18.0,2025-01-28,19:00:00
22,Caipirinha de Limão,22.0,2025-01-28,19:00:00
23,Pão de Queijo (Porção),15.0,2025-01-09,18:00:00
24,Cerveja Artesanal,18.0,2025-01-01,13:00:00
24,Café Coado,6.0,2025-01-01,13:00:00
24,Caipirinha de Limão,22.0,2025-01-01,13:00:00
25,Moqueca de Peixe,75.0,2025-01-18,21:00:00
26,Água de Coco,10.0,2025-01-28,15:00:00
27,Caipirinha de Limão,22.0,2025-01-17,19:00:00
27,Café Coado,6.0,2025-01-17,19:00:00
